seed,corridor_radius,deflection,success_rate,death_rate,temporal_jitter,mean_arrival,first_death_step
8,17,0.4,0.8428571428571429,0.15714285714285714,0.06467144044843955,395.0508474576271,119.0
9,17,0.4,0.6857142857142857,0.3142857142857143,0.10511541761625623,428.75,108.0
10,17,0.4,0.8,0.2,0.06845592333981704,426.82142857142856,47.0
11,17,0.4,0.8,0.2,0.09255724172258781,411.875,121.0
12,17,0.4,0.8714285714285714,0.12857142857142856,0.09678198029419922,421.8688524590164,109.0
13,17,0.4,0.7714285714285715,0.22857142857142856,0.08763978678919873,415.462962962963,47.0
14,17,0.4,0.8857142857142857,0.11428571428571428,0.03139190799261899,397.53225806451616,121.0
15,17,0.4,0.9285714285714286,0.07142857142857142,0.0453362789859449,386.8,120.0
16,17,0.4,0.8285714285714286,0.17142857142857143,0.10142679361229777,435.37931034482756,118.0
17,17,0.4,0.8571428571428571,0.14285714285714285,0.10781693335090667,426.98333333333335,119.0
18,17,0.4,0.8571428571428571,0.14285714285714285,0.059114571839173416,396.5,45.0
19,17,0.4,0.7857142857142857,0.21428571428571427,0.0743030991837162,414.4727272727273,119.0
0,17,0.5,0.8857142857142857,0.11428571428571428,0.09000409813230481,414.06451612903226,113.0
1,17,0.5,0.8142857142857143,0.18571428571428572,0.08291406166812572,440.859649122807,110.0
2,17,0.5,0.8571428571428571,0.14285714285714285,0.04957522483176167,399.5,120.0
3,17,0.5,0.8285714285714286,0.17142857142857143,0.07473866632317806,432.91379310344826,109.0
4,17,0.5,0.8,0.2,0.0921135253878435,430.0892857142857,46.0
5,17,0.5,0.8,0.2,0.07618487499395354,428.6607142857143,110.0
6,17,0.5,0.7571428571428571,0.24285714285714285,0.09133895424934378,417.52830188679246,119.0
7,17,0.5,0.8285714285714286,0.17142857142857143,0.09083765930326038,436.05172413793105,45.0
8,17,0.5,0.8142857142857143,0.18571428571428572,0.09359172562891649,451.859649122807,119.0
9,17,0.5,0.8571428571428571,0.14285714285714285,0.06620665450322058,408.6333333333333,108.0
10,17,0.5,0.8285714285714286,0.17142857142857143,0.06105744272938958,406.1896551724138,47.0
11,17,0.5,0.8714285714285714,0.12857142857142856,0.05178229458360785,406.62295081967216,121.0
12,17,0.5,0.8428571428571429,0.15714285714285714,0.07925777799496696,407.6101694915254,109.0
