seed,deflection,zone,n_entered,entry_mean_step,entry_std_step,local_temporal_jitter,success_rate,failure_rate
10,0.3,C_downstream,48,259.0416666666667,4.890289414293959,0.018878389246035375,0.6571428571428571,0.34285714285714286
11,0.3,A_entry,70,0.0,0.0,0.0,0.6571428571428571,0.34285714285714286
11,0.3,B_transition,70,96.28571428571429,1.3746984827107895,0.014277283944919266,0.6571428571428571,0.34285714285714286
11,0.3,C_downstream,50,257.9,4.3920382511995495,0.01703000485142505,0.6571428571428571,0.34285714285714286
12,0.3,A_entry,70,0.0,0.0,0.0,0.6571428571428571,0.34285714285714286
12,0.3,B_transition,69,96.4927536231884,1.7497261765549645,0.01813323913803565,0.6571428571428571,0.34285714285714286
12,0.3,C_downstream,48,257.9166666666667,5.195484150255446,0.020144041939522978,0.6571428571428571,0.34285714285714286
13,0.3,A_entry,70,0.0,0.0,0.0,0.6285714285714286,0.37142857142857144
13,0.3,B_transition,68,96.3529411764706,1.2457540343851397,0.012929071174803162,0.6285714285714286,0.37142857142857144
13,0.3,C_downstream,50,257.68,4.562630820042314,0.017706577227664572,0.6285714285714286,0.37142857142857144
14,0.3,A_entry,70,0.0,0.0,0.0,0.5857142857142857,0.4142857142857143
14,0.3,B_transition,70,96.32857142857142,1.4414420217410122,0.014963805653392169,0.5857142857142857,0.4142857142857143
14,0.3,C_downstream,47,258.3404255319149,4.75025910041234,0.01838759493646152,0.5857142857142857,0.4142857142857143
15,0.3,A_entry,70,0.0,0.0,0.0,0.5857142857142857,0.4142857142857143
15,0.3,B_transition,69,96.4927536231884,1.470711041735926,0.015241673457303576,0.5857142857142857,0.4142857142857143
15,0.3,C_downstream,44,259.45454545454544,4.896448367089175,0.018872085507278678,0.5857142857142857,0.4142857142857143
16,0.3,A_entry,70,0.0,0.0,0.0,0.5571428571428572,0.44285714285714284
16,0.3,B_transition,67,96.35820895522389,1.4004422812823762,0.014533710168052268,0.5571428571428572,0.44285714285714284
16,0.3,C_downstream,45,257.9111111111111,5.0412618447819515,0.019546508962115135,0.5571428571428572,0.44285714285714284
17,0.3,A_entry,70,0.0,0.0,0.0,0.6571428571428571,0.34285714285714286
17,0.3,B_transition,66,96.42424242424242,1.243901560713563,0.012900299026751058,0.6571428571428571,0.34285714285714286
17,0.3,C_downstream,51,257.4117647058824,4.891675484195154,0.019003309696296745,0.6571428571428571,0.34285714285714286
18,0.3,A_entry,70,0.0,0.0,0.0,0.7,0.3
18,0.3,B_transition,68,96.55882352941177,1.4387735068982361,0.01490048712580975,0.7,0.3
18,0.3,C_downstream,51,256.88235294117646,4.527246745111073,0.01762381375465735,0.7,0.3
19,0.3,A_entry,70,0.0,0.0,0.0,0.6285714285714286,0.37142857142857144
19,0.3,B_transition,70,96.65714285714286,1.2408029000347691,0.012837156813706065,0.6285714285714286,0.37142857142857144
19,0.3,C_downstream,51,257.54901960784315,4.512786737357576,0.01752204976051334,0.6285714285714286,0.37142857142857144
0,0.5,A_entry,70,0.0,0.0,0.0,0.7857142857142857,0.21428571428571427
0,0.5,B_transition,70,96.24285714285715,1.1641761561073904,0.012096234366434703,0.7857142857142857,0.21428571428571427
0,0.5,C_downstream,59,254.54237288135593,1.710605343327476,0.006720316637097123,0.7857142857142857,0.21428571428571427
1,0.5,A_entry,70,0.0,0.0,0.0,0.7571428571428571,0.24285714285714285
