seed,deflection,zone,n_entered,entry_mean_step,entry_std_step,local_temporal_jitter,success_rate,death_rate
9,0.3,C_downstream,57,271.0877192982456,9.468842167413182,0.0349290708995962,0.7285714285714285,0.2714285714285714
10,0.3,A_entry,70,0.0,0.0,0.0,0.7714285714285715,0.22857142857142856
10,0.3,B_transition,69,99.55072463768116,2.470323759125559,0.02481472403231203,0.7714285714285715,0.22857142857142856
10,0.3,C_downstream,56,297.0357142857143,20.835207398702295,0.07014377866558859,0.7714285714285715,0.22857142857142856
11,0.3,A_entry,70,0.0,0.0,0.0,0.8,0.2
11,0.3,B_transition,70,96.88571428571429,1.7851999259215212,0.018425832322798093,0.8,0.2
11,0.3,C_downstream,60,289.85,14.266306459627174,0.04921961862886994,0.8,0.2
12,0.3,A_entry,70,0.0,0.0,0.0,0.7285714285714285,0.2714285714285714
12,0.3,B_transition,70,96.82857142857142,2.0491909802332695,0.021163081825737305,0.7285714285714285,0.2714285714285714
12,0.3,C_downstream,54,308.94444444444446,28.173678723934973,0.09119334958266284,0.7285714285714285,0.2714285714285714
13,0.3,A_entry,70,0.0,0.0,0.0,0.6142857142857143,0.38571428571428573
13,0.3,B_transition,70,97.11428571428571,2.1350333362593603,0.021984750446692597,0.6142857142857143,0.38571428571428573
13,0.3,C_downstream,48,293.0625,26.310174085639698,0.08977666567899312,0.6142857142857143,0.38571428571428573
14,0.3,A_entry,70,0.0,0.0,0.0,0.7857142857142857,0.21428571428571427
14,0.3,B_transition,70,97.05714285714286,1.779933500248288,0.018339026349145776,0.7857142857142857,0.21428571428571427
14,0.3,C_downstream,59,273.8813559322034,12.665293221980138,0.04624372177078406,0.7857142857142857,0.21428571428571427
15,0.3,A_entry,70,0.0,0.0,0.0,0.8285714285714286,0.17142857142857143
15,0.3,B_transition,70,96.97142857142858,1.7806213086723295,0.0183623293467557,0.8285714285714286,0.17142857142857143
15,0.3,C_downstream,60,280.15,14.833323970034497,0.05294779214699822,0.8285714285714286,0.17142857142857143
16,0.3,A_entry,70,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571
16,0.3,B_transition,70,97.24285714285715,1.9525493539452052,0.020079103096042137,0.7428571428571429,0.2571428571428571
16,0.3,C_downstream,55,297.2909090909091,25.191392994269602,0.08473650631032766,0.7428571428571429,0.2571428571428571
17,0.3,A_entry,70,0.0,0.0,0.0,0.6857142857142857,0.3142857142857143
17,0.3,B_transition,70,97.2,1.8330302779823358,0.01885833619303989,0.6857142857142857,0.3142857142857143
